protocol,seed,originated,delivered,resolved,completion_rate,satellite,dropped_loop,dropped_ttl,blocked,stall_no_belief,belief_hops_mean,delivered_hops_mean,gossip_redundant_share,mpr_share,delivered_per_orig
linkstate-lsa2,0,2378,826,1749,0.4722698684962836,923,0,0,0,37419,2.635755114320096,1.8898305084745763,0.31337920933434027,1,0.3473507148864592
linkstate-lsa2,1,2384,678,1692,0.40070921985815605,1014,0,0,0,41645,2.6494794975807636,1.991150442477876,0.3125187290732378,1,0.28439597315436244
linkstate-lsa2,2,2380,663,1684,0.39370546318289784,1021,0,0,0,41305,2.729437786122113,2.0935143288084466,0.3194869834769885,1,0.2785714285714286
linkstate-lsa2,3,2372,632,1679,0.3764145324597975,1047,0,0,0,41837,2.6524300441826214,1.9462025316455696,0.3108052006783493,1,0.26644182124789206
linkstate-lsa2,4,2377,711,1696,0.41922169811320753,985,0,0,1,40267,2.735233931727281,2.068917018284107,0.3118491473911609,1,0.2991165334455196
linkstate-lsa2,5,2381,608,1660,0.36626506024096384,1052,0,0,0,42555,2.611655085281112,1.9375,0.31691376701966717,1,0.25535489290214197
linkstate-lsa2,6,2385,665,1711,0.38866160140268846,1044,2,0,6,42146,2.6872372450303628,2.049624060150376,0.3088128316790577,1,0.27882599580712786
linkstate-lsa2,7,2385,489,1655,0.29546827794561936,1166,0,0,0,45729,2.667717697571448,2.0224948875255624,0.3059027653199313,1,0.2050314465408805
linkstate-lsa2,8,2382,524,1592,0.32914572864321606,1068,0,0,0,43636,2.714294647323662,1.9961832061068703,0.30955052955485607,1,0.21998320738874896
linkstate-lsa2,9,2375,623,1672,0.37260765550239233,1049,0,0,0,42105,2.6033742929588453,1.85553772070626,0.3171257917513578,1,0.2623157894736842
linkstate-lsa2,10,2388,653,1727,0.37811233352634627,1073,1,0,0,42720,2.7588150056351632,2.0719754977029097,0.31226093476717104,1,0.2734505862646566
linkstate-lsa2,11,2390,528,1627,0.3245236631837738,1099,0,0,0,43973,2.710369841836128,2.009469696969697,0.30975303511191465,1,0.22092050209205022
linkstate-lsa2,12,2382,515,1640,0.31402439024390244,1125,0,0,4,45180,2.742361574382922,2.1029126213592235,0.312466307795746,1,0.2162048698572628
linkstate-lsa2,13,2382,652,1698,0.3839811542991755,1046,0,0,0,42218,2.668294871155859,1.9585889570552146,0.3111887782820915,1,0.27371956339210746
linkstate-lsa2,14,2378,720,1723,0.4178757980266976,1003,0,0,0,40332,2.6969560518731988,2.029166666666667,0.31101311631501233,1,0.3027754415475189
linkstate-lsa2,15,2387,573,1669,0.3433193529059317,1096,0,0,0,43454,2.7060702875399363,2.0575916230366493,0.31876949016942735,1,0.24005027230833684
linkstate-lsa2,16,2383,662,1718,0.3853317811408615,1056,0,0,0,42032,2.733839118686344,2.134441087613293,0.311190457574257,1,0.27780109106168693
