protocol,n,seed,originated,delivered,resolved,unresolved,unresolved_share,completion_rate,delivered_per_originated,stall_rate,delivered_per_slot_used,ceiling_utilisation,delivery_latency_mean,delivery_latency_p95,ack_latency_mean,first_hop_latency_mean,satellite,dropped_loop,dropped_ttl,blocked,stall_no_belief,belief_hops_mean,delivered_hops_mean,gossip_redundant_share,mpr_share
linkstate-mpr,2000,8,3965,1775,3038,927,0.23379571248423708,0.5842659644502962,0.44766708701134933,0.8980685380075998,0.3049304243257172,0.18147799770979878,30.062535211267605,105,45.23863636363637,17.69569779643232,1262,1,0,50,51236,3.117082600442347,2.428169014084507,0.3785481401724707,0.40253603304002916
linkstate-mpr,3000,8,5947,2809,4562,1385,0.23289053304186985,0.6157387110916265,0.4723389944509837,0.8889304273056937,0.31515763491529225,0.1709302891636647,32.27625489498042,110,45.70592020592021,17.29257216996432,1751,2,0,469,70865,3.1250415523975734,2.356354574581702,0.3956871641175149,0.3343326883531473
linkstate-mpr,100,9,198,6,129,69,0.3484848484848485,0.046511627906976744,0.030303030303030304,0.9982795698924731,0.75,0.009375,5.833333333333333,15,7.5,5,123,0,0,0,4642,1.3389830508474576,0.3333333333333333,0.0011691348402182386,0.17135549872122763
linkstate-mpr,200,9,398,23,259,139,0.3492462311557789,0.0888030888030888,0.05778894472361809,0.9953524399690162,0.5476190476190477,0.021170839469808543,9.91304347826087,15,13.782608695652174,8.75,236,0,0,0,8995,1.802555168408827,0.8260869565217391,0.1594124358243012,0.42275892080069627
linkstate-mpr,400,9,792,198,568,224,0.2828282828282828,0.3485915492957746,0.25,0.9514161810543434,0.27615062761506276,0.050192658689920906,22.01010101010101,60,31.333333333333332,11.544943820224718,370,0,0,0,14041,3.32040614863912,2.595959595959596,0.24017020359797478,0.4343719670302609
linkstate-mpr,600,9,1185,343,849,336,0.28354430379746837,0.4040047114252061,0.28945147679324895,0.9422328931572629,0.28512053200332504,0.060040610558745273,21.02915451895044,65,30.28,12.116564417177914,506,0,0,0,19622,3.1564636795109,2.457725947521866,0.3063003569482155,0.4729258556538452
linkstate-mpr,800,9,1579,526,1163,416,0.2634578847371754,0.4522785898538263,0.3331222292590247,0.9327942835652501,0.29434806939003916,0.08317520556609741,23.505703422053234,70,34.85425101214575,10.383858267716535,637,0,0,0,24803,3.189042713028547,2.4486692015209126,0.33258402353284794,0.4879409056755527
linkstate-mpr,1200,9,2375,916,1762,613,0.2581052631578947,0.5198637911464246,0.3856842105263158,0.9142081788381966,0.28687754462887566,0.11168552477565355,27.608078602620086,90,39.766490765171504,14.582718651211803,841,5,0,25,34000,3.1885418352484223,2.521834061135371,0.3524296309432214,0.4548320927564786
linkstate-mpr,1600,9,3173,1246,2342,831,0.26189725811534825,0.5320239111870196,0.39268830759533563,0.9145794240026107,0.29751671442215855,0.12389626919099515,29.107544141252006,95,41.52934898612593,15.888720666161998,1096,0,0,159,44681,3.113653154119301,2.414927768860353,0.37457463177907485,0.42341337962281267
linkstate-mpr,2000,9,3961,1893,3052,909,0.22948750315576874,0.6202490170380078,0.4779096187831356,0.88668430335097,0.30690661478599224,0.1299566124780316,28.455361859482302,90,40.225053078556265,15.029774127310061,1159,0,0,25,48239,3.1353647132169575,2.414685684099313,0.3836740838334274,0.3959733645301569
