seed,nBalloons,ackPolicy,towerContact,meshHop,rounds,meanDegree,groundedPct,believedGroundedPct,originated,delivered,satellite,acked,ackLost,droppedLoop,droppedTtl,blocked,completionRate,meanTowerAdjacent,deliveryCeilingPerRound,slotsWithBundle,stallNoBelief,stallStaleNextHop
12,1200,source-routed,4,2,800,6.2750,97.9167,98.0833,4760,3027,992,1375,1584,167,11,8122,0.721229,17.3375,13.8700,28495,2062,67
6,1200,source-routed,4,4,800,5.9475,97.0833,97.1667,4764,4236,129,1859,2271,102,7,2463,0.946804,22.3100,17.8480,22565,2504,82
0,1200,source-routed,4,4,800,6.1308,96.3333,96.4167,4746,4104,225,2242,1778,100,9,5114,0.924741,29.6137,23.6910,22693,3033,85
12,1200,source-routed,4,4,800,6.2750,97.9167,98.0833,4759,3756,359,1361,2325,137,41,8793,0.874913,17.3375,13.8700,24900,2062,67
6,1200,source-routed,4,8,800,5.9475,97.0833,97.1667,4763,4309,85,1879,2326,101,7,2433,0.957130,22.3100,17.8480,21918,2504,79
0,1200,source-routed,4,8,800,6.1308,96.3333,96.4167,4746,4146,212,2192,1867,89,7,8285,0.930849,29.6137,23.6910,22292,3033,83
12,1200,source-routed,4,8,800,6.2750,97.9167,98.0833,4758,3957,225,1357,2524,141,44,11831,0.906114,17.3375,13.8700,23653,2062,62
6,1200,digest,1,1,800,5.9475,97.0833,97.1667,4762,2435,1503,2096,0,186,1,6309,0.590303,22.3100,4.4620,35778,2504,102
0,1200,digest,1,1,800,6.1308,96.3333,96.4167,4744,2805,1217,2564,0,158,2,4727,0.670732,29.6137,5.9227,32787,3033,103
12,1200,digest,1,1,800,6.2750,97.9167,98.0833,4760,2001,1872,1695,0,182,4,7008,0.492979,17.3375,3.4675,37126,2062,92
6,1200,digest,1,2,800,5.9475,97.0833,97.1667,4761,2536,1414,2128,0,166,4,15744,0.615534,22.3100,4.4620,32995,2504,99
0,1200,digest,1,2,800,6.1308,96.3333,96.4167,4744,2921,1130,2646,0,147,7,11864,0.694649,29.6137,5.9227,30383,3033,93
12,1200,digest,1,2,800,6.2750,97.9167,98.0833,4760,2148,1732,1726,0,162,20,16387,0.528804,17.3375,3.4675,33983,2062,83
6,1200,digest,1,4,800,5.9475,97.0833,97.1667,4758,2580,1366,2175,0,164,5,30891,0.626974,22.3100,4.4620,32040,2504,97
0,1200,digest,1,4,800,6.1308,96.3333,96.4167,4742,2965,1085,2662,0,138,8,23404,0.706625,29.6137,5.9227,29746,3033,91
12,1200,digest,1,4,800,6.2750,97.9167,98.0833,4756,2240,1609,1736,0,168,39,33911,0.552268,17.3375,3.4675,32867,2062,80
0,1200,digest,1,8,800,6.1308,96.3333,96.4167,4741,2991,1058,2690,0,145,8,38440,0.711804,29.6137,5.9227,29381,3033,91
6,1200,digest,1,8,800,5.9475,97.0833,97.1667,4759,2606,1336,2196,0,170,10,50907,0.632217,22.3100,4.4620,31628,2504,91
12,1200,digest,1,8,800,6.2750,97.9167,98.0833,4753,2258,1557,1736,0,188,45,57844,0.557806,17.3375,3.4675,32430,2062,79
0,1200,digest,4,1,800,6.1308,96.3333,96.4167,4746,3740,519,3449,0,139,3,1168,0.849807,29.6137,23.6910,29406,3033,95
6,1200,digest,4,1,800,5.9475,97.0833,97.1667,4765,3624,537,3247,0,162,1,2386,0.838113,22.3100,17.8480,32260,2504,100
12,1200,digest,4,1,800,6.2750,97.9167,98.0833,4762,2868,1156,2519,0,175,5,3946,0.682207,17.3375,13.8700,34487,2062,84
0,1200,digest,4,2,800,6.1308,96.3333,96.4167,4747,4159,217,3894,0,110,11,1826,0.924839,29.6137,23.6910,24766,3033,82
6,1200,digest,4,2,800,5.9475,97.0833,97.1667,4765,4352,74,4087,0,114,6,316,0.957325,22.3100,17.8480,25178,2504,91
12,1200,digest,4,2,800,6.2750,97.9167,98.0833,4762,3901,328,3418,0,133,30,3931,0.888206,17.3375,13.8700,28019,2062,70
0,1200,digest,4,4,800,6.1308,96.3333,96.4167,4747,4198,214,3916,0,92,11,4399,0.929790,29.6137,23.6910,23550,3033,81
6,1200,digest,4,4,800,5.9475,97.0833,97.1667,4765,4405,75,4155,0,103,6,344,0.959904,22.3100,17.8480,23485,2504,90
12,1200,digest,4,4,800,6.2750,97.9167,98.0833,4761,4295,65,3924,0,106,45,2483,0.952117,17.3375,13.8700,24514,2062,65
0,1200,digest,4,8,800,6.1308,96.3333,96.4167,4746,4202,203,3916,0,95,10,8069,0.931707,29.6137,23.6910,23438,3033,80
6,1200,digest,4,8,800,5.9475,97.0833,97.1667,4765,4409,74,4153,0,95,9,736,0.961195,22.3100,17.8480,23286,2504,87
12,1200,digest,4,8,800,6.2750,97.9167,98.0833,4762,4322,59,3927,0,96,43,4224,0.956195,17.3375,13.8700,24038,2062,62
